Path,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Label
"[u'/opt/NVD/NVD_func/5/CVE-2010-3876/CVE_2010_3876_VULN_packet_getname.c']
","3
","0
","0
","0
","4
","0
","3
","17
","17
","50
","0
","1
","2
","1
","2
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3876/CVE_2010_3876_VULN_packet_getname_spkt.c']
","3
","0
","0
","0
","4
","0
","3
","6
","6
","52
","0
","1
","2
","1
","2
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3880/CVE_2010_3880_PATCHED_inet_csk_diag_dump.c']
","5
","0
","0
","0
","3
","0
","4
","16
","17
","89
","2
","2
","3
","1
","14
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-3880/CVE_2010_3880_PATCHED_inet_diag_dump_reqs.c']
","38
","2
","1
","2
","3
","0
","8
","27
","28
","137
","4
","4
","9
","2
","26
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-3880/CVE_2010_3880_PATCHED_inet_twsk_diag_dump.c']
","5
","0
","0
","0
","3
","0
","4
","16
","17
","85
","2
","2
","3
","1
","15
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-3880/CVE_2010_3880_VULN_inet_csk_diag_dump.c']
","5
","0
","0
","0
","3
","0
","4
","16
","18
","85
","2
","2
","3
","1
","17
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3880/CVE_2010_3880_VULN_inet_diag_dump_reqs.c']
","38
","2
","1
","2
","3
","0
","8
","27
","29
","133
","4
","4
","9
","2
","29
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3880/CVE_2010_3880_VULN_inet_twsk_diag_dump.c']
","5
","0
","0
","0
","3
","0
","4
","16
","18
","81
","2
","2
","3
","1
","18
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3904/CVE_2010_3904_PATCHED_rds_page_copy_user.c']
","2
","0
","0
","0
","5
","0
","2
","0
","0
","18
","0
","1
","1
","1
","2
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-3904/CVE_2010_3904_VULN_rds_page_copy_user.c']
","20
","0
","0
","0
","5
","0
","8
","0
","0
","18
","2
","2
","3
","3
","2
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3907/CVE_2010_3907_PATCHED_Close.c']
","10
","2
","1
","2
","1
","0
","4
","20
","20
","56
","3
","3
","5
","4
","14
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-3907/CVE_2010_3907_PATCHED_DemuxAudioMethod1.c']
","48
","3
","0
","1
","4
","0
","15
","79
","79
","110
","11
","3
","16
","13
","38
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-3907/CVE_2010_3907_VULN_Close.c']
","14
","2
","1
","2
","1
","0
","5
","21
","21
","56
","4
","3
","6
","5
","14
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-3907/CVE_2010_3907_VULN_DemuxAudioMethod1.c']
","44
","3
","0
","1
","4
","0
","13
","77
","77
","110
","9
","3
","14
","11
","38
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4075/CVE_2010_4075_VULN_uart_get_count.c']
","1
","0
","0
","0
","2
","0
","0
","4
","4
","32
","0
","1
","0
","1
","1
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4165/CVE_2010_4165_PATCHED_do_tcp_setsockopt.c']
","85
","0
","0
","0
","5
","0
","52
","51
","54
","93
","23
","4
","38
","17
","46
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4165/CVE_2010_4165_VULN_do_tcp_setsockopt.c']
","85
","0
","0
","0
","5
","0
","52
","51
","54
","93
","23
","4
","38
","17
","46
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4243/CVE_2010_4243_PATCHED_flush_old_exec.c']
","3
","0
","0
","0
","1
","0
","2
","7
","7
","14
","0
","1
","2
","2
","1
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4243/CVE_2010_4243_PATCHED_get_arg_page.c']
","11
","0
","0
","0
","3
","0
","6
","8
","11
","39
","3
","2
","6
","2
","10
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4243/CVE_2010_4243_VULN_flush_old_exec.c']
","3
","0
","0
","0
","1
","0
","2
","7
","7
","14
","0
","1
","2
","2
","1
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4243/CVE_2010_4243_VULN_get_arg_page.c']
","11
","0
","0
","0
","3
","0
","6
","8
","11
","39
","3
","2
","6
","2
","10
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4243/CVE_2010_4243_VULN_valid_arg_len.c']
","1
","0
","0
","0
","2
","0
","0
","0
","0
","8
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_PATCHED___release_sock.c']
","3
","2
","1
","2
","1
","0
","0
","7
","7
","28
","1
","2
","2
","2
","6
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_PATCHED_sk_clone.c']
","7
","0
","0
","0
","2
","0
","4
","34
","36
","60
","3
","2
","4
","3
","10
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_PATCHED_sk_receive_skb.c']
","7
","0
","0
","0
","3
","0
","6
","4
","4
","26
","1
","2
","4
","3
","6
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_PATCHED_sock_init_data.c']
","2
","0
","0
","0
","2
","0
","2
","40
","40
","48
","0
","1
","1
","1
","1
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_VULN___release_sock.c']
","3
","2
","1
","2
","1
","0
","0
","6
","6
","28
","1
","2
","1
","2
","6
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_VULN_sk_clone.c']
","7
","0
","0
","0
","2
","0
","4
","33
","35
","60
","3
","2
","4
","3
","10
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_VULN_sk_receive_skb.c']
","5
","0
","0
","0
","3
","0
","5
","3
","3
","24
","0
","1
","3
","2
","5
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4251/CVE_2010_4251_VULN_sock_init_data.c']
","2
","0
","0
","0
","2
","0
","2
","38
","38
","48
","0
","1
","1
","1
","1
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4256/CVE_2010_4256_PATCHED_pipe_fcntl.c']
","6
","0
","0
","0
","3
","0
","3
","5
","7
","28
","2
","2
","4
","1
","7
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4256/CVE_2010_4256_VULN_pipe_fcntl.c']
","6
","0
","0
","0
","3
","0
","3
","8
","15
","44
","2
","2
","4
","1
","7
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4263/CVE_2010_4263_PATCHED_igb_receive_skb.c']
","2
","0
","0
","0
","3
","0
","2
","5
","5
","30
","0
","1
","1
","1
","4
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4263/CVE_2010_4263_VULN_igb_receive_skb.c']
","2
","0
","0
","0
","3
","0
","2
","4
","4
","30
","0
","1
","1
","1
","1
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4342/CVE_2010_4342_PATCHED_aun_incoming.c']
","18
","0
","0
","0
","3
","0
","6
","12
","13
","66
","0
","1
","5
","3
","14
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4342/CVE_2010_4342_VULN_aun_incoming.c']
","9
","0
","0
","0
","3
","0
","5
","12
","13
","58
","0
","1
","5
","3
","13
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4346/CVE_2010_4346_PATCHED_install_special_mapping.c']
","4
","0
","0
","0
","5
","0
","3
","12
","12
","27
","0
","1
","3
","2
","4
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4346/CVE_2010_4346_VULN_install_special_mapping.c']
","3
","0
","0
","0
","5
","0
","2
","11
","11
","27
","0
","1
","2
","2
","5
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4347/CVE_2010_4347_PATCHED_acpi_debugfs_init.c']
","5
","0
","0
","0
","0
","0
","3
","0
","0
","11
","0
","1
","3
","2
","2
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4347/CVE_2010_4347_VULN_acpi_debugfs_init.c']
","5
","0
","0
","0
","0
","0
","3
","0
","0
","11
","0
","1
","3
","2
","2
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4526/CVE_2010_4526_PATCHED_sctp_icmp_proto_unreachable.c']
","5
","0
","0
","0
","3
","0
","6
","6
","6
","28
","2
","3
","4
","3
","10
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4526/CVE_2010_4526_VULN_sctp_icmp_proto_unreachable.c']
","1
","0
","0
","0
","3
","0
","0
","2
","2
","18
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4527/CVE_2010_4527_PATCHED_load_mixer_volumes.c']
","8
","2
","0
","1
","3
","0
","5
","0
","0
","28
","1
","3
","6
","3
","10
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4527/CVE_2010_4527_VULN_load_mixer_volumes.c']
","8
","2
","0
","1
","3
","0
","5
","0
","0
","28
","1
","3
","6
","3
","10
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4648/CVE_2010_4648_PATCHED_orinoco_ioctl_set_auth.c']
","17
","0
","0
","0
","4
","0
","10
","17
","17
","58
","4
","3
","7
","6
","12
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4648/CVE_2010_4648_VULN_orinoco_ioctl_set_auth.c']
","17
","0
","0
","0
","4
","0
","10
","17
","17
","58
","4
","3
","7
","6
","12
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4649/CVE_2010_4649_PATCHED_ib_uverbs_poll_cq.c']
","9
","1
","0
","1
","4
","0
","6
","1
","1
","41
","3
","2
","7
","3
","12
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4649/CVE_2010_4649_VULN_ib_uverbs_poll_cq.c']
","7
","1
","0
","1
","4
","0
","5
","18
","20
","79
","0
","1
","6
","3
","14
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4656/CVE_2010_4656_PATCHED_iowarrior_write.c']
","30
","0
","0
","0
","4
","0
","15
","36
","39
","81
","9
","4
","15
","6
","20
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4656/CVE_2010_4656_VULN_iowarrior_write.c']
","30
","0
","0
","0
","4
","0
","15
","36
","39
","81
","9
","4
","15
","6
","20
",1
"[u'/opt/NVD/NVD_func/5/CVE-2010-4668/CVE_2010_4668_PATCHED_blk_rq_map_user_iov.c']
","19
","1
","0
","1
","7
","0
","8
","4
","4
","37
","2
","2
","8
","3
","20
",0
"[u'/opt/NVD/NVD_func/5/CVE-2010-4668/CVE_2010_4668_VULN_blk_rq_map_user_iov.c']
","19
","1
","0
","1
","7
","0
","8
","4
","4
","37
","2
","2
","8
","3
","20
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1598/CVE_2011_1598_PATCHED_bcm_release.c']
","17
","0
","0
","0
","1
","0
","7
","13
","13
","49
","3
","3
","6
","2
","12
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1598/CVE_2011_1598_VULN_bcm_release.c']
","16
","0
","0
","0
","1
","0
","6
","13
","13
","51
","1
","3
","3
","2
","10
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1684/CVE_2011_1684_PATCHED_MP4_ReadBox_skcr.c']
","1
","0
","0
","0
","2
","0
","0
","12
","24
","20
","0
","0
","0
","0
","0
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1684/CVE_2011_1684_VULN_MP4_ReadBox_skcr.c']
","1
","0
","0
","0
","2
","0
","0
","12
","24
","20
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1712/CVE_2011_1712_PATCHED_GenerateIdFunctionCall__evaluate.c']
","5
","0
","0
","0
","2
","0
","4
","14
","17
","64
","0
","1
","4
","1
","8
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1712/CVE_2011_1712_PATCHED_txXPathNodeUtils__getXSLTId.c']
","2
","0
","0
","0
","3
","0
","2
","0
","0
","0
","0
","1
","1
","1
","2
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1712/CVE_2011_1712_VULN_GenerateIdFunctionCall__evaluate.c']
","4
","0
","0
","0
","2
","0
","3
","11
","14
","58
","0
","1
","3
","1
","7
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1712/CVE_2011_1712_VULN_txXPathNodeUtils__getXSLTId.c']
","2
","0
","0
","0
","2
","0
","2
","0
","0
","0
","0
","1
","1
","1
","2
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1745/CVE_2011_1745_PATCHED_agp_generic_insert_memory.c']
","93
","2
","0
","1
","3
","0
","8
","28
","33
","42
","1
","2
","11
","6
","20
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1745/CVE_2011_1745_VULN_agp_generic_insert_memory.c']
","93
","2
","0
","1
","3
","0
","8
","27
","32
","42
","1
","2
","11
","6
","20
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1745/CVE_2011_1745_VULN_agp_generic_remove_memory.c']
","6
","1
","0
","1
","3
","0
","4
","11
","13
","22
","0
","1
","5
","3
","9
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1746/CVE_2011_1746_PATCHED_agp_allocate_memory.c']
","6
","1
","0
","1
","3
","0
","6
","8
","11
","34
","1
","2
","4
","3
","14
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1746/CVE_2011_1746_PATCHED_agp_create_user_memory.c']
","2
","0
","0
","0
","1
","0
","1
","0
","0
","22
","0
","1
","1
","1
","2
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1746/CVE_2011_1746_VULN_agp_allocate_memory.c']
","6
","1
","0
","1
","3
","0
","6
","8
","11
","34
","1
","2
","4
","3
","16
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1746/CVE_2011_1746_VULN_agp_create_user_memory.c']
","1
","0
","0
","0
","1
","0
","0
","0
","0
","14
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1747/CVE_2011_1747_PATCHED_agp_allocate_memory.c']
","6
","1
","0
","1
","3
","0
","6
","8
","11
","34
","1
","2
","4
","3
","14
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1747/CVE_2011_1747_PATCHED_agp_create_user_memory.c']
","2
","0
","0
","0
","1
","0
","1
","0
","0
","22
","0
","1
","1
","1
","2
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1747/CVE_2011_1747_VULN_agp_allocate_memory.c']
","6
","1
","0
","1
","3
","0
","6
","8
","11
","34
","1
","2
","4
","3
","16
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1747/CVE_2011_1747_VULN_agp_create_user_memory.c']
","1
","0
","0
","0
","1
","0
","0
","0
","0
","14
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1748/CVE_2011_1748_PATCHED_raw_release.c']
","9
","0
","0
","0
","1
","0
","6
","11
","11
","37
","1
","3
","5
","3
","7
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1748/CVE_2011_1748_VULN_raw_release.c']
","8
","0
","0
","0
","1
","0
","5
","11
","11
","39
","1
","3
","3
","3
","6
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1759/CVE_2011_1759_PATCHED_sys_oabi_semtimedop.c']
","7
","1
","0
","1
","4
","0
","5
","3
","3
","56
","0
","1
","5
","2
","6
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1759/CVE_2011_1759_VULN_sys_oabi_semtimedop.c']
","7
","1
","0
","1
","4
","0
","5
","3
","3
","56
","0
","1
","5
","2
","5
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1771/CVE_2011_1771_PATCHED_cifs_close.c']
","2
","0
","0
","0
","2
","0
","1
","3
","3
","14
","0
","1
","1
","1
","4
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1771/CVE_2011_1771_VULN_cifs_close.c']
","1
","0
","0
","0
","2
","0
","0
","2
","2
","14
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1833/CVE_2011_1833_PATCHED_ecryptfs_mount.c']
","21
","0
","0
","0
","4
","0
","11
","27
","41
","78
","0
","1
","11
","3
","23
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1833/CVE_2011_1833_PATCHED_ecryptfs_parse_options.c']
","198
","1
","0
","1
","3
","0
","14
","31
","31
","137
","5
","3
","16
","5
","20
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1833/CVE_2011_1833_VULN_ecryptfs_mount.c']
","19
","0
","0
","0
","4
","0
","10
","25
","36
","75
","0
","1
","10
","3
","18
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1833/CVE_2011_1833_VULN_ecryptfs_parse_options.c']
","197
","1
","0
","1
","2
","0
","14
","31
","31
","119
","5
","3
","16
","5
","20
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-1927/CVE_2011_1927_PATCHED_ip_expire.c']
","6
","0
","0
","0
","1
","0
","5
","15
","15
","44
","3
","2
","5
","3
","18
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-1927/CVE_2011_1927_VULN_ip_expire.c']
","7
","0
","0
","0
","1
","0
","6
","15
","15
","46
","3
","3
","6
","3
","20
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2022/CVE_2011_2022_PATCHED_agp_generic_remove_memory.c']
","7
","1
","0
","1
","3
","0
","5
","13
","15
","22
","0
","1
","6
","4
","10
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2022/CVE_2011_2022_VULN_agp_generic_remove_memory.c']
","6
","1
","0
","1
","3
","0
","4
","11
","13
","22
","0
","1
","5
","3
","9
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2174/CVE_2011_2174_PATCHED_tvb_uncompress.c']
","42
","3
","2
","2
","3
","0
","25
","12
","12
","142
","10
","6
","21
","7
","17
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2174/CVE_2011_2174_VULN_tvb_uncompress.c']
","42
","3
","2
","2
","3
","0
","25
","12
","12
","142
","10
","6
","21
","7
","17
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2213/CVE_2011_2213_PATCHED_inet_diag_bc_audit.c']
","36
","1
","0
","1
","2
","0
","3
","11
","11
","26
","3
","3
","5
","5
","9
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2213/CVE_2011_2213_PATCHED_valid_cc.c']
","5
","1
","0
","1
","3
","0
","3
","4
","4
","18
","3
","2
","4
","3
","5
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2213/CVE_2011_2213_VULN_inet_diag_bc_audit.c']
","35
","1
","0
","1
","2
","0
","4
","11
","11
","28
","4
","3
","6
","6
","9
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2213/CVE_2011_2213_VULN_valid_cc.c']
","5
","1
","0
","1
","3
","0
","3
","3
","3
","18
","3
","2
","4
","3
","5
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2367/CVE_2011_2367_PATCHED_WebGLContext__BindBuffer.c']
","9
","0
","0
","0
","2
","0
","7
","5
","5
","19
","2
","2
","6
","4
","13
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2367/CVE_2011_2367_VULN_WebGLContext__BindBuffer.c']
","8
","0
","0
","0
","2
","0
","7
","5
","5
","19
","2
","2
","5
","3
","13
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2368/CVE_2011_2368_PATCHED_WebGLContext__ValidateProgram.c']
","2
","0
","0
","0
","1
","0
","1
","1
","1
","9
","0
","1
","1
","1
","4
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2368/CVE_2011_2368_VULN_WebGLContext__ValidateProgram.c']
","3
","0
","0
","0
","1
","0
","2
","2
","2
","11
","0
","1
","2
","1
","8
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2371/CVE_2011_2371_PATCHED_array_extra.c']
","804
","2
","0
","1
","4
","0
","24
","6
","6
","127
","15
","4
","26
","6
","26
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2371/CVE_2011_2371_VULN_array_extra.c']
","804
","2
","0
","1
","4
","0
","24
","6
","6
","127
","15
","4
","26
","6
","26
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2482/CVE_2011_2482_PATCHED_sctp_sock_migrate.c']
","288
","0
","0
","0
","4
","0
","10
","36
","40
","138
","3
","2
","4
","8
","26
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2482/CVE_2011_2482_VULN_sctp_sock_migrate.c']
","288
","0
","0
","0
","4
","0
","10
","36
","40
","138
","3
","2
","4
","8
","26
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2484/CVE_2011_2484_PATCHED_add_del_listener.c']
","8
","0
","0
","0
","3
","0
","6
","12
","12
","58
","3
","2
","6
","3
","12
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2484/CVE_2011_2484_VULN_add_del_listener.c']
","4
","0
","0
","0
","3
","0
","4
","11
","11
","52
","1
","2
","4
","2
","9
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2496/CVE_2011_2496_PATCHED_vma_to_resize.c']
","23
","0
","0
","0
","4
","0
","11
","9
","9
","40
","4
","2
","11
","6
","23
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2496/CVE_2011_2496_VULN_vma_to_resize.c']
","22
","0
","0
","0
","4
","0
","10
","7
","7
","40
","3
","2
","10
","6
","22
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2518/CVE_2011_2518_PATCHED_tomoyo_mount_acl.c']
","91
","1
","0
","1
","5
","0
","17
","7
","7
","64
","6
","4
","13
","3
","23
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2518/CVE_2011_2518_VULN_tomoyo_mount_acl.c']
","91
","1
","0
","1
","5
","0
","17
","7
","7
","64
","6
","4
","13
","3
","23
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2529/CVE_2011_2529_PATCHED_sipsock_read.c']
","6
","0
","0
","0
","4
","0
","6
","0
","0
","26
","1
","3
","5
","3
","13
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2529/CVE_2011_2529_VULN_sipsock_read.c']
","6
","0
","0
","0
","4
","0
","6
","0
","0
","26
","1
","3
","5
","3
","13
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2536/CVE_2011_2536_PATCHED_register_verify.c']
","3919880
","0
","0
","0
","4
","0
","35
","35
","35
","176
","14
","6
","33
","14
","54
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2536/CVE_2011_2536_PATCHED_transmit_fake_auth_response.c']
","14
","2
","1
","2
","4
","0
","11
","18
","18
","112
","5
","3
","11
","4
","32
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2536/CVE_2011_2536_VULN_register_verify.c']
","3919880
","0
","0
","0
","4
","0
","35
","34
","34
","174
","14
","6
","33
","14
","54
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2536/CVE_2011_2536_VULN_transmit_fake_auth_response.c']
","28
","2
","1
","2
","4
","0
","12
","18
","18
","112
","5
","3
","11
","4
","35
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2587/CVE_2011_2587_PATCHED_DemuxAudioSipr.c']
","10
","0
","0
","0
","3
","0
","5
","27
","27
","44
","1
","2
","5
","3
","9
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2587/CVE_2011_2587_VULN_DemuxAudioSipr.c']
","10
","0
","0
","0
","3
","0
","5
","25
","25
","44
","1
","2
","5
","3
","9
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2588/CVE_2011_2588_PATCHED_AVI_ChunkRead_strf.c']
","4
","0
","0
","0
","2
","0
","9
","85
","181
","100
","5
","3
","1
","8
","28
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2588/CVE_2011_2588_VULN_AVI_ChunkRead_strf.c']
","4
","0
","0
","0
","2
","0
","9
","84
","180
","86
","5
","3
","1
","8
","28
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2605/CVE_2011_2605_PATCHED_nsCookieService__SetCookieStringInternal.c']
","10
","1
","0
","1
","5
","0
","5
","0
","0
","9
","1
","2
","6
","2
","13
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2605/CVE_2011_2605_VULN_nsCookieService__SetCookieStringInternal.c']
","8
","1
","0
","1
","5
","0
","4
","0
","0
","9
","0
","1
","5
","2
","13
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2689/CVE_2011_2689_PATCHED_gfs2_fallocate.c']
","101
","1
","0
","1
","4
","0
","14
","18
","20
","69
","7
","4
","15
","6
","17
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2689/CVE_2011_2689_VULN_gfs2_fallocate.c']
","47
","1
","0
","1
","4
","0
","12
","17
","19
","69
","7
","3
","13
","6
","17
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2700/CVE_2011_2700_PATCHED_si4713_write_econtrol_string.c']
","10
","0
","0
","0
","2
","0
","7
","7
","7
","25
","6
","2
","8
","3
","12
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2700/CVE_2011_2700_VULN_si4713_write_econtrol_string.c']
","10
","0
","0
","0
","2
","0
","7
","7
","7
","25
","6
","2
","8
","3
","12
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2723/CVE_2011_2723_PATCHED_skb_gro_header_slow.c']
","2
","0
","0
","0
","3
","0
","1
","3
","3
","14
","0
","1
","1
","1
","3
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2723/CVE_2011_2723_VULN_skb_gro_header_slow.c']
","1
","0
","0
","0
","3
","0
","0
","3
","3
","14
","0
","1
","0
","1
","1
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2896/CVE_2011_2896_PATCHED_gif_read_lzw.c']
","40
","6
","3
","2
","3
","0
","19
","0
","0
","80
","13
","5
","22
","7
","22
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2896/CVE_2011_2896_VULN_gif_read_lzw.c']
","45
","8
","4
","2
","3
","0
","19
","0
","0
","78
","15
","5
","24
","7
","22
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2909/CVE_2011_2909_PATCHED_do_devinfo_ioctl.c']
","8
","0
","0
","0
","3
","0
","5
","8
","10
","54
","0
","1
","1
","1
","5
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2909/CVE_2011_2909_VULN_do_devinfo_ioctl.c']
","8
","0
","0
","0
","3
","0
","5
","8
","10
","54
","0
","1
","1
","1
","5
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2928/CVE_2011_2928_PATCHED_befs_follow_link.c']
","5
","0
","0
","0
","2
","0
","8
","6
","6
","59
","1
","4
","4
","2
","9
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2928/CVE_2011_2928_VULN_befs_follow_link.c']
","4
","0
","0
","0
","2
","0
","6
","6
","6
","59
","1
","3
","3
","2
","9
",1
"[u'/opt/NVD/NVD_func/7/CVE-2011-2980/CVE_2011_2980_PATCHED_ThinkPadSensor__Startup.c']
","6
","0
","0
","0
","0
","0
","3
","0
","0
","0
","0
","1
","2
","1
","5
",0
"[u'/opt/NVD/NVD_func/7/CVE-2011-2980/CVE_2011_2980_VULN_ThinkPadSensor__Startup.c']
","3
","0
","0
","0
","0
","0
","2
","0
","0
","0
","0
","1
","2
","1
","2
",1
